CODECOUNTRY,VAR,COU,YEAR,Value
AFG,INFLOW,AUS,2000,887
AFG,INFLOW,AUS,2001,456
AFG,INFLOW,AUS,2002,660
AFG,INFLOW,AUS,2003,1015
AFG,INFLOW,AUS,2004,1340
AFG,INFLOW,AUS,2005,3463
AFG,INFLOW,AUS,2006,3465
AFG,INFLOW,AUS,2007,2560
AFG,INFLOW,AUS,2008,2033
AFG,INFLOW,AUS,2009,1696
AFG,INFLOW,AUS,2010,1618
AFG,INFLOW,AUS,2011,2030
AFG,INFLOW,AUS,2012,1623
AFG,INFLOW,AUS,2013,2178
AFG,INFLOW,AUS,2014,5686
AFG,INFLOW,AUS,2015,3323
AFG,OUTFLOW,AUS,2000,1
AFG,OUTFLOW,AUS,2001,3
AFG,OUTFLOW,AUS,2004,61
AFG,OUTFLOW,AUS,2005,123
AFG,OUTFLOW,AUS,2006,100
AFG,OUTFLOW,AUS,2007,66
AFG,OUTFLOW,AUS,2008,77
AFG,OUTFLOW,AUS,2009,96
AFG,OUTFLOW,AUS,2010,105
AFG,OUTFLOW,AUS,2011,164
AFG,OUTFLOW,AUS,2012,116
AFG,OUTFLOW,AUS,2013,114
AFG,OUTFLOW,AUS,2014,115
AFG,INFLOW,AUT,2000,828
AFG,INFLOW,AUT,2001,1539
AFG,INFLOW,AUT,2002,1101
AFG,INFLOW,AUT,2003,743
AFG,INFLOW,AUT,2004,650
AFG,INFLOW,AUT,2005,652
AFG,INFLOW,AUT,2006,498
AFG,INFLOW,AUT,2007,530
AFG,INFLOW,AUT,2008,958
AFG,INFLOW,AUT,2009,1422
AFG,INFLOW,AUT,2010,1281
AFG,INFLOW,AUT,2011,2908
AFG,INFLOW,AUT,2012,3756
AFG,INFLOW,AUT,2013,2305
AFG,INFLOW,AUT,2014,3171
AFG,INFLOW,AUT,2015,19505
AFG,OUTFLOW,AUT,2000,424
AFG,OUTFLOW,AUT,2001,1221
AFG,OUTFLOW,AUT,2002,481
AFG,OUTFLOW,AUT,2003,266
AFG,OUTFLOW,AUT,2004,162
AFG,OUTFLOW,AUT,2005,95
