focus,country,year,nbFromCountryToFocus
AUS,AFG,2000,887
AUS,AFG,2001,456
AUS,AFG,2002,660
AUS,AFG,2003,1015
AUS,AFG,2004,1340
AUS,AFG,2005,3463
AUS,AFG,2006,3465
AUS,AFG,2007,2560
AUS,AFG,2008,2033
AUS,AFG,2009,1696
AUS,AFG,2010,1618
AUS,AFG,2011,2030
AUS,AFG,2012,1623
AUS,AFG,2013,2178
AUS,AFG,2014,5686
AUS,AFG,2015,3323
AUS,AGO,2000,5
AUS,AGO,2001,2
AUS,AGO,2002,8
AUS,AGO,2003,0
AUS,AGO,2004,0
AUS,AGO,2005,0
AUS,AGO,2006,0
AUS,AGO,2007,8
AUS,AGO,2008,6
AUS,AGO,2009,5
AUS,AGO,2010,4
AUS,AGO,2011,3
AUS,AGO,2012,1
AUS,AGO,2013,2
AUS,AGO,2014,0
AUS,AGO,2015,5
AUS,ALB,2000,64
AUS,ALB,2001,90
AUS,ALB,2002,75
AUS,ALB,2003,404
AUS,ALB,2004,135
AUS,ALB,2005,123
AUS,ALB,2006,147
AUS,ALB,2007,100
AUS,ALB,2008,115
AUS,ALB,2009,161
AUS,ALB,2010,144
AUS,ALB,2011,110
AUS,ALB,2012,144
AUS,ALB,2013,117
AUS,ALB,2014,111
AUS,ALB,2015,89
AUS,AND,2000,0
AUS,AND,2001,0
AUS,AND,2002,0
AUS,AND,2003,0
AUS,AND,2004,0
AUS,AND,2005,0
AUS,AND,2006,0
AUS,AND,2007,1
AUS,AND,2008,0
AUS,AND,2009,0
AUS,AND,2010,0
AUS,AND,2011,1
AUS,AND,2012,0
AUS,AND,2013,0
AUS,AND,2014,0
AUS,AND,2015,0
AUS,ARE,2000,3
AUS,ARE,2001,2
AUS,ARE,2002,3
AUS,ARE,2003,4
AUS,ARE,2004,16
AUS,ARE,2005,6
AUS,ARE,2006,3
AUS,ARE,2007,4
AUS,ARE,2008,4
AUS,ARE,2009,5
AUS,ARE,2010,7
AUS,ARE,2011,2
AUS,ARE,2012,12
AUS,ARE,2013,3
AUS,ARE,2014,11
AUS,ARE,2015,20
AUS,ARG,2000,84
AUS,ARG,2001,111
AUS,ARG,2002,127
AUS,ARG,2003,209
AUS,ARG,2004,383
AUS,ARG,2005,387
AUS,ARG,2006,267
AUS,ARG,2007,174
AUS,ARG,2008,175
AUS,ARG,2009,161
AUS,ARG,2010,204
AUS,ARG,2011,128
AUS,ARG,2012,173
AUS,ARG,2013,186
AUS,ARG,2014,231
AUS,ARG,2015,190
AUS,ARM,2000,24
AUS,ARM,2001,28
AUS,ARM,2002,21
AUS,ARM,2003,39
AUS,ARM,2004,34
AUS,ARM,2005,8
AUS,ARM,2006,25
AUS,ARM,2007,27
AUS,ARM,2008,30
AUS,ARM,2009,52
AUS,ARM,2010,24
AUS,ARM,2011,26
AUS,ARM,2012,35
AUS,ARM,2013,27
AUS,ARM,2014,37
AUS,ARM,2015,30
AUS,ATG,2000,1
AUS,ATG,2001,0
AUS,ATG,2002,6
AUS,ATG,2003,0
AUS,ATG,2004,0
AUS,ATG,2005,0
AUS,ATG,2006,0
AUS,ATG,2007,1
AUS,ATG,2008,0
AUS,ATG,2009,0
AUS,ATG,2010,0
AUS,ATG,2011,0
AUS,ATG,2012,1
AUS,ATG,2013,2
AUS,ATG,2014,0
AUS,ATG,2015,0
AUS,AUS,2000,0
AUS,AUS,2001,0
AUS,AUS,2002,0
AUS,AUS,2003,0
AUS,AUS,2004,0
AUS,AUS,2005,0
AUS,AUS,2006,0
AUS,AUS,2007,0
AUS,AUS,2008,0
AUS,AUS,2009,0
AUS,AUS,2010,0
AUS,AUS,2011,0
AUS,AUS,2012,0
AUS,AUS,2013,0
AUS,AUS,2014,0
AUS,AUS,2015,0
AUS,AUT,2000,130
AUS,AUT,2001,111
AUS,AUT,2002,146
AUS,AUT,2003,153
AUS,AUT,2004,158
AUS,AUT,2005,142
AUS,AUT,2006,143
AUS,AUT,2007,171
AUS,AUT,2008,129
AUS,AUT,2009,186
AUS,AUT,2010,174
AUS,AUT,2011,111
AUS,AUT,2012,159
AUS,AUT,2013,143
AUS,AUT,2014,119
AUS,AUT,2015,113
AUS,AZE,2000,16
AUS,AZE,2001,7
AUS,AZE,2002,10
AUS,AZE,2003,7
AUS,AZE,2004,23
AUS,AZE,2005,24
AUS,AZE,2006,16
AUS,AZE,2007,16
