Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,1873452513.97,1920262569.83,1941094972.07,2021301675.98,2228279329.61,2331005586.59,2421474860.34,2623726256.98,2791960893.85,2498932960.89,2467703910.61,2584463687.15,,,,
Afghanistan,AFG,,2461665937.89,4128820723.05,4583644246.48,5285465685.86,6275073571.55,7057598406.62,9843842455.48,10190529882.49,12486943505.74,15936800636.25,17930239399.81,20536542736.73,20046334303.97,20050189881.67,19702986340.55
Angola,AGO,9129594818.61,8936063723.20,12497346669.67,14188949190.62,19640848728.89,28233712830.90,41789478661.31,60448921272.23,84178032716.10,75492384801.37,82470913120.73,104115923082.74,115398371427.67,124912063308.20,126776874216.70,102962245246.71
Albania,ALB,3632043907.98,4060758804.12,4435078647.75,5746945912.58,7314865175.62,8158548716.69,8992642348.79,10701011896.77,12881352687.78,12044212903.82,11926953258.92,12890867538.53,12319784787.30,12781029643.59,13219857459.10,11390365293.81
Andorra,AND,1401695227.57,1484017897.09,1717485413.14,2373927765.24,2916786689.84,3248215396.10,3536632793.88,4010990966.33,4001201113.23,3650083356.49,3346516556.29,3427022518.77,3146151869.46,3248924588.42,,
Arab World,ARB,735025140336.26,723282816382.45,729051715403.98,823110541431.17,963862340520.58,1184661549595.13,1404113530800.68,1637573196970.62,2077706582271.06,1795472295052.32,2109224213446.00,2501942770389.97,2740536188974.18,2838294388723.79,2904404570076.29,2561129553776.39
United Arab Emirates,ARE,104337372362.15,103311640571.82,109816201497.62,124346358066.71,147824370319.95,180617018379.85,222116541865.21,257916133424.10,315474615738.60,253547358747.45,289880430197.25,350908390046.36,374817974113.48,390427289210.79,403197682887.72,357949199759.59
Argentina,ARG,284203750000.00,268696750000.00,97724004251.86,127586973492.18,164657930452.79,198737095012.28,232557260817.31,287530508430.57,361558037110.42,332976484577.62,423627422092.49,530163281574.66,545982375701.13,552025140252.25,526319673731.64,584711485367.27
Armenia,ARM,1911563665.39,2118467913.38,2376335048.40,2807061008.69,3576615240.42,4900469515.07,6384451606.14,9206301700.40,11662040713.88,8647936747.99,9260284937.80,10142111334.50,10619320048.59,11121465767.41,11609512939.75,10529182498.35
American Samoa,ASM,,,514000000.00,527000000.00,512000000.00,503000000.00,496000000.00,520000000.00,563000000.00,678000000.00,576000000.00,574000000.00,644000000.00,639000000.00,638000000.00,641000000.00
Antigua and Barbuda,ATG,825405518.52,795976518.52,809754481.48,850218592.59,913710370.37,1014979666.67,1149025481.48,1302388925.93,1359733555.56,1217719666.67,1147942222.22,1141865444.44,1216045777.78,1195885111.11,1274330333.33,1355645888.89
Australia,AUS,415446209885.07,378899860470.11,394635830891.59,466853232382.06,613329776639.64,693764095624.72,747572626534.89,853764622752.61,1055334825425.25,927168310999.85,1142876772659.21,1390557034407.97,1538194473087.23,1567178619062.28,1459597906912.70,1345383143356.35
Austria,AUT,196421706283.40,196953628635.35,212970685111.99,260721478555.31,299857238639.19,314648986444.47,334309371471.58,386458951546.67,427611527757.43,397594276187.83,390211866490.26,429037361514.41,407451583084.24,428248420485.18,438376178526.32,376967406147.99
